video_id,video_title,video_date,video_url,youtube_link,timecode,address,geocoded_address,event_type,description,lat,lon
C-DmbC2Higo,Дорожный патруль. Сводка за неделю (14.07.1996),14.07.1996,https://www.youtube.com/watch?v=C-DmbC2Higo,https://www.youtube.com/watch?v=C-DmbC2Higo&t=33s,00:00:33,"Мичуринский проспект, дом 58, Москва","Мичуринский проспект, Тропарёво-Никулино, Москва, Центральный федеральный округ, 119361, Россия",криминал,"Убийство мужчины в автомобиле Jeep Cherokee, расстрел из АКМ и пистолета ночью у подъезда",55.6701433,37.4489097
C-DmbC2Higo,Дорожный патруль. Сводка за неделю (14.07.1996),14.07.1996,https://www.youtube.com/watch?v=C-DmbC2Higo,https://www.youtube.com/watch?v=C-DmbC2Higo&t=97s,00:01:37,"Керамический проезд, дом 49, квартира 113, Москва","49 к1, Керамический проезд, район Восточное Дегунино, Москва, Центральный федеральный округ, 117042, Россия",криминал,"Обнаружены тела мужчины (застрелен) и женщины (задушена), пробывшие в квартире 3–5 суток",55.8746865,37.5675478
C-DmbC2Higo,Дорожный патруль. Сводка за неделю (14.07.1996),14.07.1996,https://www.youtube.com/watch?v=C-DmbC2Higo,https://www.youtube.com/watch?v=C-DmbC2Higo&t=138s,00:02:18,"Ленинградский проспект, спорткомплекс ЦСКА, Москва","Ленинградский проспект, район Сокол, Москва, Центральный федеральный округ, 125057, Россия",криминал,"Убит администратор хоккейной команды Владимир Богоч — четыре огнестрельных ранения, четверо нападавших",55.8046951,37.5162971
C-DmbC2Higo,Дорожный патруль. Сводка за неделю (14.07.1996),14.07.1996,https://www.youtube.com/watch?v=C-DmbC2Higo,https://www.youtube.com/watch?v=C-DmbC2Higo&t=283s,00:04:43,"Страстной бульвар, Москва","Страстной бульвар, 49, Тверской район, Москва, Центральный федеральный округ, 125375, Россия",теракт,"Взрыв СВУ в троллейбусе маршрута 12; водитель и 4 пассажира ранены, госпитализированы в НИИ Склифосовского",55.7649494,37.6061448
C-DmbC2Higo,Дорожный патруль. Сводка за неделю (14.07.1996),14.07.1996,https://www.youtube.com/watch?v=C-DmbC2Higo,https://www.youtube.com/watch?v=C-DmbC2Higo&t=369s,00:06:09,"Проспект Мира, остановка Новоалексеевская улица, Москва","Проспект Мира, улица Гиляровского, Мещанский район, Москва, Центральный федеральный округ, 129090, Россия",теракт,Взрыв радиоуправляемого СВУ (~300 г тротила) в троллейбусе маршрута 48; около 30 пострадавших госпитализированы,55.7796332,37.6317532
C-DmbC2Higo,Дорожный патруль. Сводка за неделю (14.07.1996),14.07.1996,https://www.youtube.com/watch?v=C-DmbC2Higo,https://www.youtube.com/watch?v=C-DmbC2Higo&t=432s,00:07:12,"Никулинская улица, Москва","Никулинская улица, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119361, Россия",несчастный случай,"Взрыв бытового газового баллона в квартире жилого дома; пожилая женщина получила ожоги, выбиты двери, повреждена лифтовая шахта",55.672053,37.4488314
C-DmbC2Higo,Дорожный патруль. Сводка за неделю (14.07.1996),14.07.1996,https://www.youtube.com/watch?v=C-DmbC2Higo,https://www.youtube.com/watch?v=C-DmbC2Higo&t=492s,00:08:12,"Ферганская улица, электроподстанция №395, Москва","Ферганская улица, Выхино, район Выхино-Жулебино, Москва, Центральный федеральный округ, 109444, Россия",пожар,"Возгорание масляного трансформатора на подстанции, огонь поднялся на 15 м, задымлены верхние этажи соседних домов",55.7068967,37.8133942
C-DmbC2Higo,Дорожный патруль. Сводка за неделю (14.07.1996),14.07.1996,https://www.youtube.com/watch?v=C-DmbC2Higo,https://www.youtube.com/watch?v=C-DmbC2Higo&t=526s,00:08:46,"Шарикоподшипниковская улица, Московский шинный завод, Москва","Шарикоподшипниковская улица, Кожухово, Южнопортовый район, Москва, Центральный федеральный округ, 109548, Россия",пожар,"Пожар при демонтажных работах на заводе (остатки продукции воспламенились от взрыва); тушение с вертолёта, 100 кв.м.",55.7202929,37.6750084
C-DmbC2Higo,Дорожный патруль. Сводка за неделю (14.07.1996),14.07.1996,https://www.youtube.com/watch?v=C-DmbC2Higo,https://www.youtube.com/watch?v=C-DmbC2Higo&t=644s,00:10:44,"Носовихинское шоссе, Москва","Носовихинское шоссе, район Новокосино, Москва, Центральный федеральный округ, 111672, Россия",ДТП,"Лобовое столкновение такси Волга и ГАЗ-24: такси загорелось, водитель чёрной Волги и 2 спутницы — тяжёлые травмы, водитель такси зажат",55.7444491,37.848465
C-DmbC2Higo,Дорожный патруль. Сводка за неделю (14.07.1996),14.07.1996,https://www.youtube.com/watch?v=C-DmbC2Higo,https://www.youtube.com/watch?v=C-DmbC2Higo&t=697s,00:11:37,"100-й километр МКАД, направление Ярославского шоссе, Москва","МКАД, 19-й километр, район Капотня, Москва, Центральный федеральный округ, 115408, Россия",ДТП,Москвич на ходу врезался в остановившийся без аварийки ЗИЛ-130; водитель Москвича погиб на месте,55.6234134,37.7935045
